track_number,datetime,center_lat,center_lon,total_precip,area,angle_of_movement
20705,2013-08-09 06:30:00,46.756,13.031,43.135,24,343.682
24060,2013-09-10 17:30:00,46.018,12.932,400.201,87,56.877
24579,2013-09-16 09:30:00,46.811,7.723,745.399,226,70.782
10760,2014-05-01 18:30:00,45.239,8.019,34.521,10,7.487
12784,2014-05-22 21:30:00,46.478,6.186,965.062,314,339.355
12870,2014-05-23 17:30:00,46.806,6.745,153.866,46,338.944
13142,2014-05-26 05:30:00,45.506,14.420,19.263,7,57.887
13169,2014-05-26 13:30:00,48.516,11.875,997.636,311,323.174
13305,2014-05-27 21:30:00,48.912,13.427,539.450,147,193.991
14678,2014-06-10 19:30:00,47.082,9.053,247.007,61,26.340
14750,2014-06-11 11:30:00,46.850,10.085,3.528,2,80.108
14952,2014-06-13 15:30:00,45.945,10.303,21.714,11,223.354
15855,2014-06-23 14:30:00,47.085,9.917,2740.970,468,94.826
16015,2014-06-25 06:30:00,45.626,14.750,61.477,24,69.499
17254,2014-07-07 18:30:00,48.179,8.522,1570.457,270,56.827
18470,2014-07-20 14:30:00,47.650,12.986,1489.533,263,72.896
19866,2014-08-05 04:30:00,45.671,15.509,544.359,108,116.895
20712,2014-08-13 15:30:00,47.162,14.267,2968.644,612,51.050
21478,2014-08-20 17:30:00,45.424,9.745,165.220,80,52.246
23486,2014-09-09 14:30:00,47.659,12.145,41.795,14,216.704
24641,2014-09-22 08:30:00,45.189,14.741,13.455,7,94.626
11103,2015-05-06 08:30:00,46.524,9.503,41.513,17,70.106
11717,2015-05-13 16:30:00,48.314,6.371,422.902,71,103.661
11738,2015-05-13 22:30:00,47.661,14.740,1003.026,443,112.054
12231,2015-05-19 12:30:00,45.686,8.151,580.178,87,45.777
13886,2015-06-05 14:30:00,45.071,5.580,52.131,24,27.273
13957,2015-06-06 11:30:00,46.575,10.997,68.564,22,136.204
13985,2015-06-06 18:30:00,45.818,5.826,2069.899,745,69.594
13998,2015-06-06 21:30:00,45.474,7.827,76.240,54,282.531
14055,2015-06-07 11:30:00,46.734,6.068,121.351,26,69.706
