track_number,datetime,center_lat,center_lon,total_precip,area,angle_of_movement
24170,2014-09-17 09:30:00,41.011,2.016,151.552,17,57.211
24188,2014-09-17 14:30:00,44.070,3.843,226.004,43,36.400
24294,2014-09-18 18:30:00,44.676,4.752,99.598,46,330.311
24399,2014-09-19 20:30:00,44.605,4.490,262.449,48,61.997
24438,2014-09-20 08:30:00,49.615,-0.807,51.239,12,63.998
24891,2014-09-24 18:30:00,40.499,2.999,4.416,2,86.236
14262,2015-06-09 11:30:00,41.386,-3.170,282.153,41,127.808
14632,2015-06-13 11:30:00,42.851,-0.594,310.696,85,273.030
14640,2015-06-13 13:30:00,44.428,2.666,86.411,22,194.842
14849,2015-06-15 14:30:00,40.652,0.235,208.435,84,192.461
17492,2015-07-16 15:30:00,42.071,-0.911,377.579,140,44.012
17652,2015-07-18 12:30:00,40.898,-1.571,9.426,6,93.517
17922,2015-07-21 13:30:00,43.248,-3.042,767.902,204,110.387
18009,2015-07-22 11:30:00,44.941,3.696,14.937,10,328.785
18221,2015-07-24 11:30:00,42.450,2.550,1.048,1,89.229
20520,2015-08-17 23:30:00,40.745,0.928,229.209,89,27.089
11482,2016-05-11 06:30:00,42.124,-0.031,527.707,164,28.479
13146,2016-05-28 11:30:00,45.834,-0.330,812.114,141,32.076
13154,2016-05-28 14:30:00,46.351,0.551,2876.869,581,94.194
13173,2016-05-28 18:30:00,46.409,-4.628,34.201,10,5.722
13174,2016-05-28 19:30:00,43.017,0.920,1986.586,509,91.817
16395,2016-06-29 12:30:00,41.619,-2.481,22.331,12,133.575
17081,2016-07-06 20:30:00,41.286,-4.354,607.300,221,28.836
19500,2016-07-30 18:30:00,45.801,2.888,287.373,60,101.908
19578,2016-07-31 12:30:00,44.190,3.622,217.649,71,69.844
23489,2016-09-09 13:30:00,42.868,0.082,6.854,6,100.347
24093,2016-09-15 22:30:00,48.702,-2.514,141.893,77,31.204
24863,2016-09-23 12:30:00,40.833,0.004,87.109,33,59.362
25051,2016-09-25 12:30:00,43.516,2.621,383.045,94,149.373
12454,2017-05-11 03:30:00,43.871,2.257,775.105,269,43.016
12507,2017-05-11 12:30:00,44.539,3.657,2397.380,673,11.445
12589,2017-05-12 08:30:00,44.589,3.114,89.778,23,55.807
14839,2017-06-04 01:30:00,41.155,-2.457,41.005,22,74.779
14873,2017-06-04 11:30:00,41.088,-2.965,199.128,75,104.551
16435,2017-07-08 15:30:00,45.768,2.747,18.264,14,355.904
16546,2017-07-09 18:30:00,43.639,-3.136,844.340,202,48.510
16572,2017-07-09 23:30:00,47.423,-0.476,1031.044,264,65.213
23528,2017-09-18 05:30:00,40.742,3.952,11.684,7,133.809
23861,2017-09-22 01:30:00,43.003,-1.741,122.916,26,193.840
11661,2018-05-07 11:30:00,43.656,3.249,256.521,98,205.816
12124,2018-05-12 05:30:00,42.903,1.107,32.247,9,182.484
13088,2018-05-21 10:30:00,40.315,-1.282,5.704,3,19.037
13573,2018-05-26 06:30:00,42.920,-1.362,406.797,95,341.087
13984,2018-05-30 09:30:00,42.322,2.268,97.875,47,18.826
14222,2018-06-01 18:30:00,40.617,-2.062,562.124,179,0.169
14411,2018-06-03 12:30:00,45.836,0.460,1215.364,316,279.002
14928,2018-06-09 01:30:00,48.982,-2.198,625.787,55,158.150
14991,2018-06-09 19:30:00,43.368,-0.153,342.029,118,328.492
16602,2018-06-26 14:30:00,41.799,-4.605,42.256,22,127.326
16704,2018-06-27 11:30:00,41.638,-2.263,302.063,80,310.987
16816,2018-06-28 12:30:00,41.081,-0.226,888.229,186,68.658
17481,2018-07-04 08:30:00,44.193,-4.147,374.014,67,93.207
18904,2018-07-18 13:30:00,43.942,0.106,30.785,21,106.407
19056,2018-07-20 10:30:00,45.850,2.707,3.538,2,71.090
20949,2018-08-08 22:30:00,44.825,0.806,431.279,151,26.217
21295,2018-08-12 17:30:00,40.410,-1.740,356.674,155,89.140
21331,2018-08-13 02:30:00,43.267,4.785,427.597,112,85.223
21708,2018-08-17 01:30:00,40.252,1.630,264.852,45,324.713
22801,2018-08-28 14:30:00,41.538,-0.514,716.256,149,336.279
23539,2018-09-04 05:30:00,42.342,4.054,106.885,19,101.101
23653,2018-09-05 14:30:00,42.328,-2.207,82.170,45,65.706
23684,2018-09-05 22:30:00,40.811,2.503,2199.285,175,8.542
12007,2019-05-16 18:30:00,42.436,-1.924,833.773,275,271.996
