track_number,datetime,center_lat,center_lon,total_precip,area
21052,2002-08-26 01:30:00,41.13184,2.746973,388.5663,96
21111,2002-08-26 14:30:00,36.587,6.638364,20.937078,20
21204,2002-08-27 14:30:00,41.240993,4.383649,2644.1675,1209
21287,2002-08-28 13:30:00,42.791252,16.224722,7662.0347,1716
21334,2002-08-28 22:30:00,43.108177,14.871704,364.6395,78
21613,2002-08-31 19:30:00,48.596966,18.193932,158.09215,53
21786,2002-09-02 17:30:00,47.677853,15.155065,0.0,79
21837,2002-09-03 13:30:00,41.72175,1.8714188,46.265587,17
21859,2002-09-03 18:30:00,44.323574,3.6163583,998.2717,402
22063,2002-09-06 01:30:00,42.85432,10.108638,1480.2145,203
22123,2002-09-06 17:30:00,41.5233,16.782892,1326.9336,398
22163,2002-09-07 06:30:00,39.890213,17.63292,257.0517,44
22309,2002-09-08 19:30:00,36.73955,3.9075658,298.893,116
22362,2002-09-09 12:30:00,44.260925,5.401555,3163.9321,1065
22657,2002-09-12 15:30:00,35.765537,8.292429,263.79456,150
22683,2002-09-12 20:30:00,40.90656,1.7601905,441.67288,57
22733,2002-09-13 12:30:00,40.84392,10.575605,732.0435,155
22768,2002-09-13 20:30:00,39.840466,15.957789,54.36877,92
22883,2002-09-14 23:30:00,37.28184,15.351919,1324.1858,300
23019,2002-09-16 15:30:00,41.065365,-8.526614,593.3631,231
23152,2002-09-17 23:30:00,37.941055,7.625166,1338.7611,613
23221,2002-09-18 15:30:00,47.49431,-1.3200562,123.03397,44
23385,2002-09-20 13:30:00,49.13964,16.249842,354.42432,164
23390,2002-09-20 13:30:00,44.77519,-0.3250246,126.76716,22
23410,2002-09-20 18:30:00,44.200043,-0.7434188,27.230291,9
23420,2002-09-20 21:30:00,46.090725,13.633833,204.48892,96
23456,2002-09-21 10:30:00,45.44757,13.603253,294.22284,54
23469,2002-09-21 13:30:00,44.244644,0.19979872,70.83327,27
23543,2002-09-22 10:30:00,45.43656,14.320302,1506.6118,497
23577,2002-09-22 19:30:00,39.77616,16.85391,0.036285777,47
23614,2002-09-23 05:30:00,40.106876,20.68947,4283.957,1315
23637,2002-09-23 13:30:00,39.79226,19.62655,3578.7651,1154
23678,2002-09-23 18:30:00,43.572365,17.821587,79.168945,17
